ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year,Company Name,Sub-Industry,Splits,Dividends
MZN,EQY,MARINDI METALS LIMITED                                      ,ORDINARY            ,0.012,20180629,2018,,,1.0,0.0
MZZ,EQY,MATADOR MINING LIMITED                                      ,ORDINARY            ,0.31,20180629,2018,Matador Mining Limited Ordinary,Precious Metals & Minerals,1.0,0.13
N1H,EQY,N1 HOLDINGS LIMITED                                         ,ORDINARY            ,0.098,20180613,2018,N1 Holdings Limited Ordinary,Consumer Lending,1.0,0.0
N27,EQY,NORTHERN COBALT LIMITED                                     ,ORDINARY            ,0.175,20180629,2018,,,1.0,0.0
NAB,EQY,NATIONAL AUSTRALIA BANK LIMITED                             ,ORDINARY            ,27.41,20180629,2018,National Australia Bank Limited Ordinary,Banks,1.0,0.0
NABPA,EQY,NATIONAL AUSTRALIA BANK LIMITED                             ,CTG PRE 3M PER RD T-,100.631,20180629,2018,,,1.0,0.0
NABPB,EQY,NATIONAL AUSTRALIA BANK LIMITED                             ,CTG PRE 3M PER RD T-,103.0,20180629,2018,,,1.0,0.0
NABPC,EQY,NATIONAL AUSTRALIA BANK LIMITED                             ,CN 3M PER Q RD T-23 ,101.499,20180629,2018,,,1.0,0.0
NABPD,EQY,NATIONAL AUSTRALIA BANK LIMITED                             ,CN 3M PER Q RD T-22 ,105.0,20180629,2018,,,1.0,0.0
NABPE,EQY,NATIONAL AUSTRALIA BANK LIMITED                             ,CN 3M 09-28 Q RD    ,101.8,20180629,2018,,,1.0,0.0
NAC,EQY,NAOS ABSOLUTE OPPORTUNITIES COMPANY LIMITED                 ,ORDINARY            ,0.955,20180629,2018,Naos Ex-50 Opportunities Company Limited Ordinary,Investment Management & Fund Operators,1.0,0.0
NAE,EQY,NEW AGE EXPLORATION LIMITED                                 ,ORDINARY            ,0.006,20180629,2018,New AGE Exploration Limited Ordinary,Coal,1.0,0.0
NAG,EQY,NAGAMBIE RESOURCES LIMITED                                  ,ORDINARY            ,0.16,20180629,2018,Nagambie Resources Limited Ordinary,Gold,1.0,0.0
NAM,EQY,NAMOI COTTON LIMITED                                        ,ORDINARY            ,0.52,20180629,2018,Namoi Cotton Limited Ordinary,Textiles & Leather Goods,1.0,0.0
NAN,EQY,NANOSONICS LIMITED                                          ,ORDINARY            ,3.16,20180629,2018,Nanosonics Limited Ordinary,Advanced Medical Equipment & Technology,1.0,0.0
NAV,EQY,NAVIGATOR RESOURCES LIMITED                                 ,ORDINARY            ,0.008,20170317,2018,,,1.0,0.0
NBL,EQY,NONI B LIMITED                                              ,ORDINARY            ,2.94,20180629,2018,,,1.0,0.0
NC6,EQY,NANOLLOSE LIMITED                                           ,ORDINARY            ,0.13,20180629,2018,Nanollose Limited Ordinary,Textiles & Leather Goods,1.0,0.0
