ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
AHF,EQY,AUSTRALIAN DAIRY FARMS GROUP                                ,STAPLED             ,0.115,20170630,2017
AHG,EQY,AUTOMOTIVE HOLDINGS GROUP LIMITED.                          ,ORDINARY            ,3.35,20170630,2017
AHK,EQY,ARK MINES LIMITED                                           ,ORDINARY            ,0.115,20170630,2017
AHL,EQY,AHALIFE HOLDINGS LIMITED                                    ,ORDINARY            ,0.03,20170630,2017
AHN,EQY,ATHENA RESOURCES LIMITED                                    ,ORDINARY            ,0.027,20170627,2017
AHQ,EQY,ALLEGIANCE COAL LIMITED                                     ,ORDINARY            ,0.028,20170629,2017
AHR,EQY,ANCHOR RESOURCES LIMITED                                    ,ORDINARY            ,0.023,20170406,2017
AHX,EQY,APIAM ANIMAL HEALTH LIMITED                                 ,ORDINARY            ,0.7,20170630,2017
AHY,EQY,ASALEO CARE LIMITED                                         ,ORDINARY            ,1.47,20170630,2017
AHZ,EQY,ADMEDUS LTD                                                 ,ORDINARY            ,0.265,20170630,2017
AIA,EQY,AUCKLAND INTERNATIONAL AIRPORT LIMITED                      ,ORD FOR.EXEMPT NZX  ,6.77,20170630,2017
AIB,EQY,AURORA GLOBAL INCOME TRUST                                  ,ORDINARY UNITS      ,0.82,20170329,2017
AIQ,EQY,ALTERNATIVE INVESTMENT TRUST                                ,ORDINARY UNITS      ,0.08,20170629,2017
AIR,EQY,ASTIVITA LIMITED                                            ,ORDINARY            ,0.029,20170627,2017
AIS,EQY,AERIS RESOURCES LIMITED                                     ,ORDINARY            ,0.04,20170630,2017
AIV,EQY,ACTIVEX LIMITED                                             ,ORDINARY            ,0.2,20170630,2017
AIY,EQY,AUTHORISED INVESTMENT FUND LIMITED                          ,ORDINARY            ,0.012,20170626,2017
AIZ,EQY,AIR NEW ZEALAND LIMITED                                     ,ORD FOR. EXEMPT NZX ,3.11,20170630,2017
AJA,EQY,ASTRO JAPAN PROPERTY GROUP                                  ,STAPLED US PROHIBIT.,6.35,20170630,2017
AJC,EQY,ACACIA COAL LIMITED                                         ,ORDINARY            ,0.004,20170630,2017
AJD,EQY,ASIA PACIFIC DATA CENTRE GROUP                              ,ORDINARY STAPLED SEC,1.755,20170630,2017
AJJ,EQY,ASIAN AMERICAN MEDICAL GROUP LIMITED                        ,ORDINARY            ,0.1,20170623,2017
AJL,EQY,AJ LUCAS GROUP LIMITED                                      ,ORDINARY            ,0.22,20170630,2017
